[COT 2025-04-12 20:16:27] 76561198352827856: Activated Community Online Tools [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:16:32] 76561198352827856: Set GodMode To true [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:16:33] 76561198352827856: Set Invisibility To 1 [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:16:33] 76561198352827856: Set cannot be targeted by AI to true [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:16:41] 76561198352827856: Teleported 76561198352827856 to position <2163.216309, 221.071640, 568.889160>
[COT 2025-04-12 20:21:06] 76561198352827856: Spawned Entity Fire Barrel (BarrelHoles_Yellow<97603000>, 100, 900, 15, 0) at <2946.165283, 248.718185, 468.204102>
[COT 2025-04-12 20:30:57] 76561198352827856: Spawned Entity PO-X Vial (Grenade_ChemGas<533e2030>, 1, 5, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:30:57] 76561198352827856: Spawned Entity PO-X Vial (Grenade_ChemGas<533dcbc0>, 1, 5, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:31:06] 76561198352827856: Spawned Entity 6-M7 Frag Grenade (M67Grenade<3db1a7a0>, 1, 50, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:31:06] 76561198352827856: Spawned Entity 6-M7 Frag Grenade (M67Grenade<3dae1ef0>, 1, 50, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:31:06] 76561198352827856: Spawned Entity 6-M7 Frag Grenade (M67Grenade<3db055e0>, 1, 50, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:31:07] 76561198352827856: Spawned Entity 6-M7 Frag Grenade (M67Grenade<439fc1e0>, 1, 50, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:31:07] 76561198352827856: Spawned Entity 6-M7 Frag Grenade (M67Grenade<43a137d0>, 1, 50, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:31:08] 76561198352827856: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<69a33030>, 1, 50, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:31:08] 76561198352827856: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<69a2f3e0>, 1, 50, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:31:08] 76561198352827856: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<482e70a0>, 1, 50, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:31:08] 76561198352827856: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<48312c40>, 1, 50, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:32:54] 76561198352827856: Spawned Entity PO-X Vial (Grenade_ChemGas<43682a40>, 1, 5, 15, 0) at <2946.258789, 248.718185, 470.378235>
[COT 2025-04-12 20:32:54] 76561198352827856: Spawned Entity PO-X Vial (Grenade_ChemGas<4367fa00>, 1, 5, 15, 0) at <2946.258789, 248.718185, 470.378235>
[COT 2025-04-12 20:34:32] 76561198352827856: Spawned Entity Ammo case (Hel_MagazineLoading_RedCase_SLOT3<4405dd70>, 1, 750, 15, 0) at <2948.643799, 248.718079, 469.908295>
[COT 2025-04-12 20:34:32] 76561198352827856: Spawned Entity Ammo case (Hel_MagazineLoading_RedCase_SLOT3<4405e900>, 1, 750, 15, 0) at <2948.643799, 248.718079, 469.908295>
[COT 2025-04-12 20:34:37] 76561198352827856: Spawned Entity Ammo case (Hel_MagazineLoading_MagentaCase_SLOT3<44048290>, 1, 750, 15, 0) at <2948.643799, 248.718079, 469.908295>
[COT 2025-04-12 20:34:37] 76561198352827856: Spawned Entity Ammo case (Hel_MagazineLoading_MagentaCase_SLOT3<440431a0>, 1, 750, 15, 0) at <2948.643799, 248.718079, 469.908295>
[COT 2025-04-12 20:34:38] 76561198352827856: Spawned Entity Ammo case (Hel_MagazineLoading_BlueCase_SLOT3<4404a540>, 1, 750, 15, 0) at <2948.643799, 248.718079, 469.908295>
[COT 2025-04-12 20:34:38] 76561198352827856: Spawned Entity Ammo case (Hel_MagazineLoading_BlueCase_SLOT3<44043d30>, 1, 750, 15, 0) at <2948.643799, 248.718079, 469.908295>
[COT 2025-04-12 20:34:39] 76561198352827856: Spawned Entity Ammo case (Admin) (Hel_MagazineLoading_AdminCase_SLOT3<440501c0>, 1, 99999, 15, 0) at <2948.643799, 248.718079, 469.908295>
[COT 2025-04-12 20:34:39] 76561198352827856: Spawned Entity Ammo case (Admin) (Hel_MagazineLoading_AdminCase_SLOT3<44050d50>, 1, 99999, 15, 0) at <2948.643799, 248.718079, 469.908295>
[COT 2025-04-12 20:36:18] 76561198352827856: Spawned Entity Ammo case (Hel_MagazineLoading_Case_SLOT3<40dd83a0>, 1, 750, 15, 0) at <2948.027100, 248.718185, 468.727142>
[COT 2025-04-12 20:36:18] 76561198352827856: Spawned Entity Ammo case (Hel_MagazineLoading_Case_SLOT3<40dd8f30>, 1, 750, 15, 0) at <2948.027100, 248.718185, 468.727142>
[COT 2025-04-12 20:36:20] 76561198352827856: Spawned Entity Ammo case (Hel_MagazineLoading_YellowCase_SLOT2<40de19f0>, 1, 750, 15, 0) at <2948.027100, 248.718185, 468.727142>
[COT 2025-04-12 20:37:45] 76561198352827856: Spawned Entity MMG Metal Crate Black (mmg_storage_openable_noLock_base<5dfc8d00>, 1, 5000, 15, 0) at <2948.428223, 248.718079, 469.571869>
[COT 2025-04-12 20:38:24] 76561198352827856: Spawned Entity Firewood (Firewood<4bbdd710>, 6, 500, 15, 0) at <2947.490479, 248.718185, 468.564636>
[COT 2025-04-12 20:38:24] 76561198352827856: Spawned Entity Firewood (Firewood<4bbde2a0>, 6, 500, 15, 0) at <2947.490479, 248.718185, 468.564636>
[COT 2025-04-12 20:38:24] 76561198352827856: Spawned Entity Firewood (Firewood<a8db40f0>, 6, 500, 15, 0) at <2947.490479, 248.718185, 468.564636>
[COT 2025-04-12 20:38:24] 76561198352827856: Spawned Entity Firewood (Firewood<a8dad8e0>, 6, 500, 15, 0) at <2947.490479, 248.718185, 468.564636>
[COT 2025-04-12 20:38:25] 76561198352827856: Spawned Entity Firewood (Firewood<a8d9fd30>, 3, 500, 15, 0) at <2947.490479, 248.718185, 468.564636>
[COT 2025-04-12 20:39:36] 76561198352827856: Deleted Entity mmg_wall_shelf_wood:6627 at <2949.370361, 246.359146, 469.310760>
[COT 2025-04-12 20:39:41] 76561198352827856: Deleted Entity mmg_wall_shelf_wood:7228 at <2952.913818, 247.627472, 468.689667>
[COT 2025-04-12 20:40:03] 76561198352827856: Spawned Entity Medium Tent (MediumTent_Green<5310b170>, 3, 600, 15, 0) at <2949.388672, 246.326691, 469.102936>
[COT 2025-04-12 20:40:24] 76561198352827856: Deactivated Community Online Tools [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:40:33] 76561198352827856: Activated Community Online Tools [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:45:13] 76561198352827856: Activated Community Online Tools [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:45:25] 76561198352827856: Spawned Entity Umbrella Corp Backpack (PH_Backpack_01_ColorBase<446462a0>, 100, 130, 15, 0) at <2948.139404, 248.718094, 469.482147>
[COT 2025-04-12 20:45:27] 76561198352827856: Spawned Entity Umbrella Corp PlateCarrierPouches (PlateCarrierPouches<44652730>, 100, 200, 15, 0) at <2948.139404, 248.718094, 469.482147>
[COT 2025-04-12 20:45:36] 76561198352827856: Deleted Entity Kreios_Umbrella_Corporation_Backpack:6042 at <2948.139404, 248.806747, 469.482147>
[COT 2025-04-12 20:45:39] 76561198352827856: Spawned Entity Umbrella Corp Backpack (PH_Backpack_01_ColorBase<44645710>, 100, 130, 15, 0) at <2947.598145, 248.718079, 469.751190>
[COT 2025-04-12 20:45:52] 76561198352827856: Spawned Entity Umbrella Corp PlateCarrier (PlateCarrierVest<4462fc30>, 100, 225, 15, 0) at <2948.390625, 248.718185, 469.285248>
[COT 2025-04-12 20:45:53] 76561198352827856: Spawned Entity Insulated Umbrella Corp NBC Jacket (NBCJacketBase<4463cc50>, 100, 100, 15, 0) at <2948.390625, 248.718185, 469.285248>
[COT 2025-04-12 20:45:55] 76561198352827856: Spawned Entity Insulated Umbrella Corp NBC Pants (NBCPantsBase<44639e10>, 100, 100, 15, 0) at <2948.390625, 248.718185, 469.285248>
[COT 2025-04-12 20:46:02] 76561198352827856: Spawned Entity Umbrella Corp NBC GasMask (GP5GasMask<44636fd0>, 100, 80, 15, 0) at <2948.390625, 248.718185, 469.285248>
[COT 2025-04-12 20:46:05] 76561198352827856: Spawned Entity Umbrella Corp Helmet (Mich2001Helmet<a2d67710>, 100, 80, 15, 0) at <2948.390625, 248.718185, 469.285248>
[COT 2025-04-12 20:46:06] 76561198352827856: Spawned Entity Umbrella Corp Balaclava (BalaclavaMask_ColorBase<a2d6c800>, 100, 100, 15, 0) at <2948.390625, 248.718185, 469.285248>
[COT 2025-04-12 20:48:34] 76561198352827856: Spawned Entity CheyTacM300 (PNC_W_CheyTacM300<40f49e30>, 100, 300, 15, 0) at <2947.763672, 248.718155, 470.276276>
[COT 2025-04-12 20:48:38] 76561198352827856: Spawned Entity #SUPP408_00 (PNC_Suppressor_408_CheyTac<4cfa2aa0>, 7, 4, 15, 0) at <2947.763672, 248.718155, 470.276276>
[COT 2025-04-12 20:48:39] 76561198352827856: Spawned Entity #SUPP408_00 (PNC_Suppressor_408_CheyTac<4cfa3630>, 7, 4, 15, 0) at <2947.763672, 248.718155, 470.276276>
[COT 2025-04-12 20:48:52] 76561198352827856: Spawned Entity HoneyBadger (PNC_W_HoneyBadger_black<40f4b850>, 30, 600, 15, 0) at <2947.763672, 248.718155, 470.276276>
[COT 2025-04-12 20:49:33] 76561198352827856: Spawned Entity Lost Hunters Bag (HuntingBag<482237c0>, 30, 500, 15, 0) at <2948.184814, 248.718185, 468.681549>
[COT 2025-04-12 20:49:34] 76561198352827856: Spawned Entity Lost Hunters Bag (HuntingBag<48222c30>, 30, 500, 15, 0) at <2948.184814, 248.718185, 468.681549>
[COT 2025-04-12 20:49:34] 76561198352827856: Spawned Entity Lost Hunters Bag (HuntingBag<48224ee0>, 30, 500, 15, 0) at <2948.184814, 248.718185, 468.681549>
[COT 2025-04-12 20:49:34] 76561198352827856: Spawned Entity Lost Hunters Bag (HuntingBag<48225a70>, 30, 500, 15, 0) at <2948.184814, 248.718185, 468.681549>
[COT 2025-04-12 20:52:44] 76561198352827856: Spawned Entity Munitions Resupply Cache (AmmoBox<4b219b50>, 30, 300, 15, 0) at <2949.725342, 248.718185, 469.153839>
[COT 2025-04-12 20:52:44] 76561198352827856: Spawned Entity Munitions Resupply Cache (AmmoBox<4b225450>, 30, 300, 15, 0) at <2949.725342, 248.718185, 469.153839>
[COT 2025-04-12 20:52:45] 76561198352827856: Spawned Entity Munitions Resupply Cache (AmmoBox<4b2248c0>, 30, 300, 15, 0) at <2949.725342, 248.718185, 469.153839>
[COT 2025-04-12 20:52:45] 76561198352827856: Spawned Entity Munitions Resupply Cache (AmmoBox<4b220ef0>, 30, 300, 15, 0) at <2949.725342, 248.718185, 469.153839>
[COT 2025-04-12 20:52:45] 76561198352827856: Spawned Entity Munitions Resupply Cache (AmmoBox<4b227700>, 30, 300, 15, 0) at <2949.725342, 248.718185, 469.153839>
[COT 2025-04-12 20:52:46] 76561198352827856: Spawned Entity Munitions Resupply Cache (AmmoBox<4b22bc60>, 30, 300, 15, 0) at <2949.725342, 248.718185, 469.153839>
[COT 2025-04-12 20:52:46] 76561198352827856: Spawned Entity Munitions Resupply Cache (AmmoBox<4b22c7f0>, 30, 300, 15, 0) at <2949.725342, 248.718185, 469.153839>
[COT 2025-04-12 20:52:47] 76561198352827856: Spawned Entity Munitions Resupply Cache (AmmoBox<4b22eaa0>, 30, 300, 15, 0) at <2949.725342, 248.718185, 469.153839>
[COT 2025-04-12 20:52:47] 76561198352827856: Spawned Entity Munitions Resupply Cache (AmmoBox<4b228290>, 30, 300, 15, 0) at <2949.725342, 248.718185, 469.153839>
[COT 2025-04-12 20:54:55] 76561198352827856: Spawned Entity MAKR (makr<94b0dab0>, 150, 150, 15, 0) at <2950.655273, 248.758011, 468.943665>
[COT 2025-04-12 20:55:02] 76561198352827856: Spawned Entity Kugar International SD (RT_Kugar_SD<4ff1e260>, 150, 100, 15, 0) at <2950.655273, 248.758011, 468.943665>
[COT 2025-04-12 20:55:16] 76561198352827856: Spawned Entity Kugar International SD (RT_Kugar_SD<3dfd0b00>, 150, 100, 15, 0) at <2948.771973, 248.718185, 469.022400>
[COT 2025-04-12 20:55:16] 76561198352827856: Spawned Entity Kugar International SD (RT_Kugar_SD<3dfd1710>, 150, 100, 15, 0) at <2948.771973, 248.718185, 469.022400>
[COT 2025-04-12 20:55:17] 76561198352827856: Spawned Entity Kugar International SD (RT_Kugar_SD<3dfdbff0>, 150, 100, 15, 0) at <2948.771973, 248.718185, 469.022400>
[COT 2025-04-12 20:55:17] 76561198352827856: Spawned Entity Kugar International SD (RT_Kugar_SD<3dfe2c80>, 150, 100, 15, 0) at <2948.771973, 248.718185, 469.022400>
[COT 2025-04-12 20:55:29] 76561198352827856: Spawned Entity MAKR (makr<94b1b8c0>, 6, 150, 15, 0) at <2948.317383, 248.718185, 468.716705>
[COT 2025-04-12 20:55:29] 76561198352827856: Spawned Entity MAKR (makr<94b15d50>, 6, 150, 15, 0) at <2948.317383, 248.718185, 468.716705>
[COT 2025-04-12 20:55:29] 76561198352827856: Spawned Entity MAKR (makr<94b20720>, 6, 150, 15, 0) at <2948.317383, 248.718185, 468.716705>
[COT 2025-04-12 20:58:06] 76561198352827856: Spawned Entity MMG Army Box Green (mmg_army_box_base<a8dc6200>, 6, 5000, 15, 0) at <2947.766113, 246.326675, 469.854218>
[COT 2025-04-12 20:58:06] 76561198352827856: Spawned Entity MMG Army Box Green (mmg_army_box_base<3b08ab80>, 6, 5000, 15, 0) at <2947.766113, 246.326675, 469.854218>
[COT 2025-04-12 20:58:07] 76561198352827856: Spawned Entity MMG Army Box Green (mmg_army_box_base<3b0941d0>, 6, 5000, 15, 0) at <2947.766113, 246.326675, 469.854218>
[COT 2025-04-12 20:58:32] 76561198352827856: Spawned Entity MMG Gun Wall Kit Wooden (mmg_gun_wall_kit_wooden<3b0750a0>, 6, 1000, 15, 0) at <2948.669434, 246.326706, 469.794952>
